Title,release_year,Genre,Overview,Rating,Original_Language
L.O.R.D: Legend of Ravaging Dynasties,2016,"Animation, Fantasy, Drama, Science Fiction","Based on the novel of the same name, the film depicts the endless battles of four kingdoms as they fight for power and domination of the one ultimate realm.Based on his 2 beloved fantasy novels with 6 million copies sold, L.O.R.D is acclaimed writer and director Guo Jingming’s follow up to his Tiny Times films.  The action-adventure odyssey is set in a world of warring Sorcerers, Lords and Beasts. The first CGI Film to come from China",7,zh
Teen Beach 2,2015,"TV Movie, Family, Comedy, Fantasy","When characters from the movie musical “Wet Side Story” get stuck in the real world, teens Brady and Mack must find a way to return them home.",6.8,en
Amy,2015,"Documentary, Music","A documentary on the life of Amy Winehouse, the immensely talented yet doomed songstress. We see her from her teen years, where she already showed her singing abilities, to her finding success and then her downward spiral into alcoholism and drugs.",7.6,en
Tomorrow I Will Date With Yesterday's You,2016,"Romance, Drama","Takatoshi Minamiyama majors in art at an university in Kyoto. On the train to the school, he sees Emi Fukuju and falls in love with her at first sight. Gathering up all his courage, he speaks to her. They begin to date and enjoy happy days together, but Emi reveals her secret to him.",7.6,ja
The Space Between Us,2017,"Romance, Adventure, Science Fiction, Drama",A young man raised by scientists on Mars returns to Earth to find his father.,7.1,en
Escape from L.A.,1996,"Action, Adventure, Science Fiction, Thriller","This time, a cataclysmic temblor hits Los Angeles, turning it into an island. The president views the quake as a sign from above, expels Los Angeles from the country and makes it a penal colony for those found guilty of moral crimes. When his daughter, part of a resistance movement, steals the control unit for a doomsday weapon, Snake again gets tapped to save the day.",5.9,en
How It Ends,2018,"Science Fiction, Thriller, Mystery, Action, Adventure",A desperate father tries to return home to his pregnant wife after a mysterious apocalyptic event turns everything to chaos.,5.3,en
My Night,2022,"Drama, Romance","Marion faces Paris at night with a feeling of vulnerability linked to the loss of her sister. She crosses paths with Alex. Their encounter will evolve at the rhythm of their wanderings through the city, like a journey through the night.",0,fr
"My Teacher, My Obsession",2018,"Drama, Thriller, TV Movie","Riley is struggling to make friends after transferring to a new high school where her father, Chris, is an English teacher. When she meets Kyla, they quickly becomes close friends. However, the friendship takes a strange turn when Riley learns that Kyla is obsessed with her dad. Will Kyla successfully seduce Chris and start a twisted new life with him by removing everyone in her path, or will Riley be able to save her father from Kyla’s treacherous plot before it’s too late?",4.9,en
My Little Pony: Equestria Girls: Friendship Games,2015,"Animation, Music, Family","Canterlot High meets its rival school, Crystal Prep Academy, in a competition that’s a long-standing tradition – The Friendship Games. Sunset Shimmer is tasked with keeping magic out of the games to avoid the appearance of impropriety while she and her friends compete against Crystal Prep’s top students led by someone with an equal amount of interest in Equestrian magic – this world’s TWILIGHT SPARKLE.",7.3,en
All Ladies Do It,1992,"Comedy, Drama","Diana is a Roman wife happily married to sympathetic Paolo but she is keen on playing benign games of seduction with other men while resisting the advances of chic lingerie shop owner Silvio. She narrates her adventures to Paolo in order to stimulate their otherwise monotonous sexual life. However, under the influence of her lesbian friend Antonietta and raunchy sister Nadia, Diana starts to move the ongoings further while Paolo is still prone to believing that events narrated by her are merely fantasies.",4.4,it
Ferris Bueller's Day Off,1986,Comedy,"After high school slacker Ferris Bueller successfully fakes an illness in order to skip school for the day, he goes on a series of adventures throughout Chicago with his girlfriend Sloane and best friend Cameron, all the while trying to outwit his wily school principal and fed-up sister.",7.7,en
Gintama,2017,"Action, Adventure, Comedy, Science Fiction","In an era where aliens have invaded and taken over feudal Tokyo, a young samurai finds work however he can.",6.7,ja
Midnight in Paris,2011,"Fantasy, Comedy, Romance",A romantic comedy about a family traveling to the French capital for business. The party includes a young engaged couple forced to confront the illusion that a life different from their own is better.,7.5,en
Graf Porno und seine Mädchen,1969,Comedy,A comedy directed by Günter Hendel.,6.6,de
After We Leave,2019,"Science Fiction, Drama","A sci-fi drama about a man struggling to find his wife, who he abandoned six years ago, before their visa to emmigrate to an off-world colony expires.",5.4,en
Superwho?,2022,"Comedy, Action","Struggling actor Cedric seems doomed to lead the life of a loser. He's broke and his girlfriend has dumped him. Even his own father, sister and best buddies have lost faith in his ability to do anything worthwhile. Then finally, he gets a lead role: the superhero “Badman“. A chance to pull himself out of an endless downward spiral and gain his father's respect. But fate strikes again! Rushing off the set in full costume, Cedric has a car accident, loses his memory, and wakes up convinced he really is a superhero on mission! Confronted with real-life adventure and danger, his true nature is put to the test. Does he have what it takes to tackle the forces of evil, defend the weakest among us and beat the bad guys? But you can't just decide to be a hero, let alone a superhero... especially someone like Cedric!",6,fr
A Street Cat Named Bob,2016,"Family, Drama","James Bowen, a homeless busker and recovering drug addict, has his life transformed when he meets a stray ginger cat.",7.9,en
Are We There Yet?,2005,"Family, Adventure, Comedy, Romance","The fledgling romance between Nick, a playboy bachelor, and Suzanne, a divorced mother of two, is threatened by a particularly harrowing New Years Eve. When Suzanne's work keeps her in Vancouver for the holiday, Nick offers to bring her kids to the city from Portland, Oregon. The kids, who have never liked any of the men their mom dates, are determined to turn the trip into a nightmare for Nick.",5.6,en
The Wolf's Call,2019,"Thriller, Action","With nuclear war looming, a military expert in underwater acoustics strives to prove things aren't as they seem—or sound—using only his ears.",7.6,fr
Redcon-1,2018,"Action, Horror, Science Fiction","After a zombie apocalypse spreads from a London prison, the UK is brought to its knees. The spread of the virus is temporarily contained but, without a cure, it’s only a matter of time before it breaks its boundaries and the biggest problem of all… any zombies with combat skills are now enhanced. With the South East of England quarantined from the rest of the world using fortified borders, intelligence finds that the scientist responsible for the outbreak is alive and well in London. With his recovery being the only hope of a cure, a squad of eight Special Forces soldiers is sent on a suicide mission to the city, now ruled by the undead, with a single task: get him out alive within 72 hours by any means necessary. What emerges is an unlikely pairing on a course to save humanity against ever-rising odds.",5.6,en
Balkan Line,2019,"Drama, Action, War","After the NATO bombing of Yugoslavia in 1999, the Yugoslav army pulls out of Kosovo region, leaving Serbian people at the mercy of the Albanian UCK terrorists. A small band of soldiers must take over the Slatina airport, and hold it until the Russian peacekeepers arrive.",7.7,ru
Automata,2014,"Thriller, Science Fiction","Jacq Vaucan, an insurance agent of ROC robotics corporation, routinely investigates the case of manipulating a robot. What he discovers will have profound consequences for the future of humanity.",5.8,en
The Rescuers,1977,"Fantasy, Family, Animation, Adventure","What can two little mice possibly do to save an orphan girl who's fallen into evil hands? With a little cooperation and faith in oneself, anything is possible! As members of the mouse-run International Rescue Aid Society, Bernard and Miss Bianca respond to orphan Penny's call for help. The two mice search for clues with the help of an old cat named Rufus.",6.7,en
Bean,1997,"Comedy, Family, Adventure","Childlike Englishman, Mr. Bean, is an incompetent watchman at the Royal National Gallery. After the museum's board of directors' attempt to have him fired is blocked by the chairman, who has taken a liking to Bean, they send him to Los Angeles to act as their ambassador for the unveiling of a historic painting to humiliate him. Fooled, Mr. Bean must now successfully unveil the painting or risk his and a hapless Los Angeles curator's termination.",6.4,en
The Christmas Chronicles,2018,"Comedy, Adventure, Family, Fantasy","Siblings Kate and Teddy try to prove Santa Claus is real, but when they accidentally cause his sleigh to crash, they have to save Christmas.",7.1,en
Roman Holiday,2053,"Romance, Comedy, Drama","Overwhelmed by her suffocating schedule, touring European princess Ann takes off for a night while in Rome. When a sedative she took from her doctor kicks in, however, she falls asleep on a park bench and is found by an American reporter, Joe Bradley, who takes her back to his apartment for safety. At work the next morning, Joe finds out Ann's regal identity and bets his editor he can get exclusive interview with her, but romance soon gets in the way.",7.9,en
The Guns of Navarone,2061,"War, Action","A team of allied saboteurs are assigned an impossible mission: infiltrate an impregnable Nazi-held island and destroy the two enormous long-range field guns that prevent the rescue of 2,000 trapped British soldiers.",7.4,en
Nosferatu the Vampyre,1979,"Drama, Horror","Jonathan Harker, a real estate agent, goes to Transylvania to visit the mysterious Count Dracula and formalize the purchase of a property in Wismar. Once Jonathan is caught under his evil spell, Dracula travels to Wismar where he meets the beautiful Lucy, Jonathan's wife, while a plague spreads through the town, now ruled by death.",7.4,de
Siklo,2022,"Drama, Thriller","A pastor's mistress and a delivery rider get engaged in a steamy affair. When their secrets are revealed, they have to face the consequences.",4,tl
Halloween: The Curse of Michael Myers,1995,"Horror, Thriller","Six years ago, Michael Myers terrorized the town of Haddonfield, Illinois. He and his niece, Jamie Lloyd, have disappeared. Jamie was kidnapped by a bunch of evil druids who protect Michael Myers. And now, six years later, Jamie has escaped after giving birth to Michael's child. She runs to Haddonfield to get Dr. Loomis to help her again.",5.2,en
Whiteout,2009,"Action, Crime, Mystery, Thriller","The only U.S. Marshal assigned to Antarctica, Carrie Stetko will soon leave the harsh environment behind for good – in three days, the sun will set and the Amundsen-Scott Research Station will shut down for the long winter. When a body is discovered out on the open ice, Carrie's investigation into the continent's first homicide plunges her deep into a mystery that may cost her her own life.",5.5,en
Abigail,2019,"Adventure, Fantasy, Mystery","A young girl Abigail lives in a city whose borders were closed many years ago because of an epidemic of a mysterious disease. Abby's father was one of the sick - and he was taken when she was six years old. Going against the authorities to find his father, Abby learns that her city is actually full of magic. And she discovers in herself extraordinary magical abilities.",6.2,en
Dragon Ball: The Magic Begins,1991,"Action, Adventure, Fantasy",This is a live-action version of the popular Japanese animated series Dragon Ball.,4,zh
End of Days,1999,"Action, Fantasy, Horror, Mystery","On 28 December 1999, the citizens of New York City are getting ready for the turn of the millennium. However, Satan decides to crash the party by coming to the city, inhabiting a man's body, and searching for his chosen bride—a 20-year-old woman named Christine York. The world will end, and the only hope lies within an atheist named Jericho Cane.",6,en
The Butterfly Effect 2,2006,"Drama, Science Fiction, Thriller","After his girlfriend, Julie, and two best friends are killed in a tragic auto accident, Nick struggles to cope with his loss and grief. Suffering from migraine-like seizures, Nick soon discovers that he has the power to change the past via his memories. However, his time-traveling attempts to alter the past and save his one true love have unexpected and dire consequences.",4.9,en
Soy Luna: The Last Concert,2021,"Music, Documentary","The ""Soy Luna"" cast bid farewell, live at the legendary Luna Park arena in Buenos Aires. All the intimacy backstage and a look back over the history of the series, from the first rehearsals, the shooting sessions and the tours, down to the final farewell of a series that has left its mark on millions of fans.",8.1,es
Survivor,2015,"Crime, Action, Thriller","A Foreign Service Officer in London tries to prevent a terrorist attack set to hit New York, but is forced to go on the run when she is framed for crimes she did not commit.",5.6,en
Dracula Untold,2014,"Horror, Action, Drama, Fantasy, War","Vlad Tepes is a great hero, but when he learns the Sultan is preparing for battle and needs to form an army of 1,000 boys, he vows to find a way to protect his family. Vlad turns to dark forces in order to get the power to destroy his enemies and agrees to go from hero to monster as he's turned into the mythological vampire, Dracula.",6.4,en
The Layover,2017,"Comedy, Romance","When their plane is rerouted due to a hurricane warning, two single female best friends find themselves competing for the same guy during an extended layover in St. Louis.",5.3,en
Emma.,2020,"Comedy, Romance","In 1800s England, a well-meaning but selfish young woman meddles in the love lives of her friends.",7.1,en
The Great Dictator,2040,"Comedy, War",Dictator Adenoid Hynkel tries to expand his empire while a poor Jewish barber tries to avoid persecution from Hynkel's regime.,8.4,en
You Are the Apple of My Eye,2018,Romance,"Kosuke Mizushima is a high school student at a provincial city and enjoys a comfortable life. One day, due to Kosuke Mizushima's excessive joke, his class is interrupted. The teacher gets upset and makes model student Mai Hayase keep an eye on Kosuke Mizushima. Kosuke Mizushima and his 4 friends all had crushes on Mai when they were in middle school. Due to a small incident, Kosuke Mizushima and Mai Hayase get close.",5.4,ja
Black Panther: Wakanda Forever,2022,"Action, Adventure, Science Fiction",The sequel to Black Panther (2018).,0,en
Something Borrowed,2011,"Comedy, Drama, Romance","Though Rachel is a successful attorney and a loyal, generous friend, she is still single. After one drink too many at her 30th-birthday celebration, Rachel unexpectedly falls into bed with her longtime crush, Dex -- who happens to be engaged to her best friend, Darcy. Ramifications of the liaison threaten to destroy the women's lifelong friendship, while Ethan, Rachel's confidant, harbors a potentially explosive secret of his own.",6.3,en
Poltergeist II: The Other Side,1986,"Horror, Thriller","The Freeling family move in with Diane's mother in an effort to escape the trauma and aftermath of Carol Anne's abduction by the Beast. But the Beast is not to be put off so easily and appears in a ghostly apparition as the Reverend Kane, a religeous zealot responsible for the deaths of his many followers. His goal is simple - he wants the angelic Carol Anne.",6,en
Lupin the Third vs. Detective Conan: The Movie,2013,"Animation, Action, Thriller","Conan Edogawa sets out to apprehend Lupin the Third, the suspect of stealing a jewel called Cherry Sapphire. (A sequel to the TV special Lupin the Third vs. Detective Conan, 2009.)",6.8,ja
Dororo,2007,"Action, Fantasy, Horror, Science Fiction","Hyakkimaru, a warrior on a quest to reclaim 48 of his body parts which were each taken by a demon, is joined by Dororo, a thief on a quest to avenge the death of her parents.",7,ja
Tusk,2014,"Comedy, Horror","When his best friend and podcast co-host goes missing in the backwoods of Canada, a young guy joins forces with his friend's girlfriend to search for him.",5.4,en
"Oh, Ramona!",2019,"Comedy, Romance","Oh, Ramona! seeks the transformation of Andrew from a teenager into an adult who lives candidly and selflessly his first love story, innocent and uninvolved, alternating with the second, intense and insane story, incapable of making a choice. Oh, Ramona! is the cinematic rewriting of Andrei Ciobanu's book ""Suge-o, Ramona!"".",5.7,en
Sherlock Gnomes,2018,"Animation, Family, Fantasy, Comedy, Adventure, Mystery","Garden gnomes, Gnomeo & Juliet, recruit renown detective, Sherlock Gnomes, to investigate the mysterious disappearance of other garden ornaments.",5.6,en
Obsessed,2014,"Drama, Romance, Adventure","In a Korean military camp in 1969, a married colonel falls madly in love with the beautiful wife of his new subordinate officer.",6.8,ko
Avengement,2019,"Crime, Action","While on a prison furlough, a lowly criminal evades his guards and returns to his old stomping ground to take revenge on the people who turned him into a cold blooded killer.",6.8,en
Towa no Quon 1: The Ephemeral Petals,2011,"Action, Animation, Science Fiction, Fantasy","This story follows a boy named Quon and his friends, who are ""Attractors"". Attractors are human beings who have awakened and have supernatural powers. Quon is determined to save them all. But a secret organization is hunting them...",6.3,ja
Shut In,2016,"Drama, Thriller","A widowed child psychologist lives in an isolated existence in rural New England. When caught in a deadly winter storm, she must find a way to rescue a young boy before he disappears forever.",5.4,en
Singin' in the Rain,2052,"Comedy, Music, Romance","In 1927 Hollywood, a silent film production company and cast make a difficult transition to sound.",8.2,en
Before the Flood,2016,Documentary,"A look at how climate change affects our environment and what society can do to prevent the demise of endangered species, ecosystems, and native communities across the planet.",7.7,en
Survival Island,2006,"Thriller, Mystery, Drama, Romance","After a yachting accident, a millionaire and his wife are shipwrecked on a desert island along with their former deckhand, Manuel.",5.1,en
Scent of a Woman,1992,Drama,"Charlie Simms is a student at a private preparatory school who comes from a poor family. To earn the money for his flight home to Gresham, Oregon for Christmas, Charlie takes a job over Thanksgiving looking after retired U.S. Army officer Lieutenant Colonel Frank Slade, a cantankerous middle-aged man who lives with his niece and her family.",7.7,en
Ghostheads,2016,Documentary,A documentary that explores the extreme side of the Ghostbusters fandom. Join us as we travel the world meeting extreme Ghostbusters fans. Every Ghosthead is unique. Every Franchise is its own. Every pop culture fandom should learn how to give back to the community.,5.9,en
Young Adult,2011,"Comedy, Drama","A divorced writer from the Midwest returns to her hometown to reconnect with an old flame, who's now married with a family.",5.7,en
Monster Hunt 2,2018,"Adventure, Comedy, Fantasy","The sequel to Monster Hunt. Set in a world where monsters and humans co-exist, the franchise tells the story of Wuba, a baby monster born to be king. Wuba becomes the central figure in stopping an all-out monster civil war.",6.8,en
Serenity,2019,"Thriller, Mystery, Drama","The quiet life of Baker Dill, a fishing boat captain who lives on the isolated Plymouth Island, where he spends his days obsessed with capturing an elusive tuna while fighting his personal demons, is interrupted when someone from his past comes to him searching for help.",5.4,en
The Lives of Others,2006,"Drama, Thriller",A tragic love story set in East Berlin with the backdrop of an undercover Stasi controlled culture. Stasi captain Wieler is ordered to follow author Dreyman and plunges deeper and deeper into his life until he reaches the threshold of doubting the system.,8.1,de
"Madrid, 1987",2011,Drama,"Two characters: old and young; teacher and pupil; man and woman. Four walls within which they conjure intellectualism, relive the profession (journalism), explore politics and discover each other.",6.3,es
Pelé,2021,Documentary,"Against the backdrop of a turbulent era in Brazil, this documentary captures Pelé's extraordinary path from breakthrough talent to national hero. Mixing rare archival footage and exclusive interviews, this documentary celebrates the legendary Brazilian footballer who personified football as art.",7.5,pt
Yummy,2019,"Horror, Comedy, Action","A young couple travels to a shabby Eastern European hospital for plastic surgery. The young woman wants a breast reduction. Her mother comes along for yet another face-lift. Wandering through an abandoned ward the boyfriend stumbles upon a young woman, gagged and strapped to an operating table; she is the result of an experimental rejuvenation treatment. He frees her, but does not realize he just caused the outbreak of a virus that will change doctors, patients and his mother-in-law into bloodthirsty zombies.",6.4,nl
The Amityville Horror,1979,Horror,"George Lutz and his wife Kathleen, move into their Long Island dream house with their children only for their lives to be turned into a hellish nightmare. The legacy of a murder committed in the house gradually affects the family and a priest is brought in to try and exorcise the demonic presence from their home.",6.3,en
Wer,2013,"Horror, Mystery, Thriller","A defense attorney begins to suspect that her client, who is charged with the murders of a vacationing family, might be more than meets the eye.",6.3,en
Dante's Peak,1997,"Action, Adventure, Thriller, Drama","Volcanologist Harry Dalton comes to the sleepy town of Dante's Peak to investigate the recent rumblings of the dormant volcano the burg is named for. Before long, his worst fears are realized when a massive eruption hits, and immediately, Harry, the mayor and the townspeople find themselves fighting for their lives amid a catastrophic nightmare.",6.1,en
Police Academy 4: Citizens on Patrol,1987,"Comedy, Crime","A new batch of recruits arrives at Police Academy, this time a group of civilian volunteers who have joined Commandant Lassard's new Citizens on Patrol program. Although the community relations project has strong governmental support, a disgusted Captain Harris is determined to see it fail.",5.4,en
From Dusk Till Dawn 2: Texas Blood Money,1999,"Crime, Action, Horror, Thriller","A gang of bank-robbing misfits heads to Mexico with the blueprints for the perfect million-dollar heist, but when one of the crooks wanders into the wrong bar... and crosses the wrong vampire... the thieving cohorts develop a thirst for blood!",4.6,en
Tango & Cash,1989,"Action, Adventure, Comedy, Thriller","Ray Tango and Gabriel Cash are narcotics detectives who, while both being extremely successful, can't stand each other. Crime Lord Yves Perret, furious at the loss of income that Tango and Cash have caused him, frames the two for murder. Caught with the murder weapon on the scene of the crime, the two have no alibi. Thrown into prison with most of the criminals they helped convict, it appears that they are going to have to trust each other if they are to clear their names and catch the evil Perret.",6.4,en
Vacancy 2: The First Cut,2008,"Horror, Thriller, Mystery","Three young people check into the Meadow View Inn for a night's rest, fully unaware of the inn's sick-minded employees and their nefarious intentions.",5.3,en
Vivarium,2019,"Science Fiction, Horror, Mystery","A young woman and her fiancé are in search of the perfect starter home. After following a mysterious real estate agent to a new housing development, the couple finds themselves trapped in a maze of identical houses and forced to raise an otherworldly child.",6,en
Arena,2011,"Action, Thriller, Science Fiction","David Lord finds himself forced into the savage world of a modern gladiatorial arena, where men fight to the death for the entertainment of the online masses.",5.3,en
Unforgiven,1992,Western,"William Munny is a retired, once-ruthless killer turned gentle widower and hog farmer. To help support his two motherless children, he accepts one last bounty-hunter mission to find the men who brutalized a prostitute. Joined by his former partner and a cocky greenhorn, he takes on a corrupt sheriff.",7.9,en
Fidelity,2019,Drama,"Lena is a talented midwife and gynaecologist, her husband Serezha is an actor at a provincial drama theatre. They are close and gentle with each other, but there is no sex. Lena suspects that Serezha has an affair, but she worries quietly and does not reveal her jealousy. Instead of sorting out her relationship with her husband, Lena starts to betray him with chance acquaintances. Gradually Lena’s parallel life gets out of control and changes her original life.",7,ru
She's the Man,2006,"Comedy, Drama, Family, Romance","Viola Hastings is in a real jam. Complications threaten her scheme to pose as her twin brother, Sebastian, and take his place at a new boarding school. She falls in love with her handsome roommate, Duke, who loves beautiful Olivia, who has fallen for Sebastian! As if that were not enough, Viola's twin returns from London ahead of schedule but has no idea that his sister has already replaced him on campus.",6.8,en
Bring It On,2000,Comedy,"The Toro cheerleading squad from Rancho Carne High School in San Diego has got spirit, spunk, sass and a killer routine that's sure to land them the national championship trophy for the sixth year in a row. But for newly-elected team captain Torrance, the Toros' road to total cheer glory takes a shady turn when she discovers that their perfectly-choreographed routines were in fact stolen.",6.2,en
House of 1000 Corpses,2003,Horror,Two teenage couples traveling across the backwoods of Texas searching for urban legends of serial killers end up as prisoners of a bizarre and sadistic backwater family of serial killers.,6.2,en
Vicky Cristina Barcelona,2008,"Drama, Romance","Two girlfriends on a summer holiday in Spain become enamored with the same painter, unaware that his ex-wife, with whom he has a tempestuous relationship, is about to re-enter the picture.",6.8,en
The Medallion,2003,"Thriller, Fantasy, Action, Comedy",A Hong Kong detective suffers a fatal accident involving a mysterious medallion and is transformed into an immortal warrior with superhuman powers.,5.6,en
The Boss: Anatomy of a Crime,2014,"Drama, Crime","This incredibly disturbing story follows the exploitation of an apprentice butcher, Hermógenes, and his trial after he murders his boss in broad daylight. Hermógenes, a farmhand from northern Argentina, relocates to Buenos Aires in search of a better life for himself and his young wife, but soon finds himself at the mercy of a corrupt boss. The film is based on a thorough investigation of a real event that happened in Buenos Aires 10 years ago. Almost every scene in the film is inspired by real facts or based on well documented daily practices of the “meat business” and its environment. Both a shocking exposé of unscrupulous practices in the meat industry and a heart-wrenching personal story, El Patrón became one of the most successful Argentine films of 2014.",7.9,es
Daddy's Perfect Little Girl,2021,"Drama, TV Movie",A 12-year-old girl becomes jealous when her adoptive father develops a budding relationship with a woman and her teenage son.,6,en
The Man in the Iron Mask,1998,"Adventure, Action, Drama","Years have passed since the Three Musketeers, Aramis, Athos and Porthos, have fought together with their friend, D'Artagnan. But with the tyrannical King Louis using his power to wreak havoc in the kingdom while his twin brother, Philippe, remains imprisoned, the Musketeers reunite to abduct Louis and replace him with Philippe.",6.6,en
Kill Switch,2017,"Science Fiction, Action, Thriller",A pilot battles to save his family and the planet after an experiment for unlimited energy goes wrong.,4.8,en
The Superdeep,2020,"Horror, Science Fiction, Thriller","In 1984, a Russian research team goes below the surface to find out what secret the world's deepest borehole is hiding. On their expedition, something unexpectedly gruesome awaits the researchers.",6.3,ru
Ozzy,2016,"Animation, Family","Ozzy, a friendly, peaceful beagle has his idyllic life turned upside down when the Martins leave on a long and distant trip. There's only one problem: no dogs allowed! Unable to bring their beloved Ozzy along for the ride, they settle on the next best thing, a top-of-the-line canine spa called Blue Creek.",6,es
The Jungle Book 2,2003,"Family, Animation, Adventure","Mowgli has been living in the man-village with his little stepbrother Ranjan and his best friend Shanti. But the man-cub still has that jungle rhythm in his heart, and he misses his old buddies Baloo and Bagheera. When Mowgli wanders back to the wild for some swingin' fun, he soon finds the man-eating tiger Shere Khan is lurking in the shadows and planning his revenge.",5.9,en
The Cokeville Miracle,2015,"Mystery, Drama, History, Family, Thriller","On May 9, 1986, a small ranching community in Wyoming experiences a divine intervention when a couple detonates a bomb inside a crowded classroom.",7,en
Bulletproof Monk,2003,"Action, Comedy, Fantasy","A mysterious and immortal Tibetan kung fu master, who has spent the last 60 years traveling around the world protecting the ancient Scroll of the Ultimate, mentors a selfish street kid in the ancient intricacies of kung fu.",5.5,en
Covet: Island of Desire,2017,Romance,"People who are on a fishing boat in a secluded countryside wake up to a deep desire in their heart.  Money, sex, power ... In the uninhabited desert of endless desire, it turns out that somebody is found as a body and another person is on the island.  Can they escape safely from the island of desire?",4.5,ko
National Lampoon's Van Wilder,2002,"Comedy, Romance","Van Wilder has been attending college for far too many years and is scared to graduate, but Van’s father eventually realizes what is going on. When he stops paying his son's tuition fees, Van must come up with the money if he wants to stay in college, so he and his friends come up with a great fund-raising idea – throwing parties. However, when the college magazine finds out and reporter, Gwen is sent to do a story on Van Wilder, things get a little complicated.",6,en
Fist of the North Star: Legend of Raoh - Chapter of Fierce Fight,2007,"Action, Animation","A film adaptation of the Last Nanto General story arc from the manga, depicting the final battle between Kenshiro and Raoh that led to Kenshiro becoming the successor of Hokuto Shinken. Some events from the manga / anime have been excluded from the story (such as Raoh's fight with Juza) whereas others have been altered or expanded. New content featuring the final battle from Raoh's perspective have been added. This film serves as the follow-up to the first film in the series, which introduced Raoh and Reina's relationship, this time bringing it to a conclusion.",6.5,ja
Around the World in 80 Days,2004,"Action, Adventure, Comedy","A bet pits a British inventor, a Chinese thief and a French artist on a worldwide adventure that they can circle the globe in 80 days.",5.9,en
Diary of a Mad Black Woman,2005,"Comedy, Drama, Romance","Charles McCarter and his wife Helen are about to celebrate their 18th-wedding anniversary when Helen comes home to find her clothes packed up in a U-Haul van parked in the driveway. Charles is divorcing Her. Helen moves in with her grandmother Madea, an old woman who doesn't take any lip from anyone. Madea helps Helen through these tough times by showing her what is really important in life.",6.5,en
Operation Condor,1991,"Action, Adventure, Crime, Thriller","Hired by a Spanish baron, Hong Kong treasure hunter Jackie, a.k.a. ""Asian Hawk"" and his entourage seek WWII Nazi gold buried in the Sahara Desert.",7.4,cn
47 Ronin,2013,"Drama, Action, Adventure, Fantasy","Kai—an outcast—joins Oishi, the leader of 47 outcast samurai.  Together they seek vengeance upon the treacherous overlord who killed their master and banished their kind.  To restore honour to their homeland, the warriors embark upon a quest that challenges them with a series of trials that would destroy ordinary warriors.",6.1,en
Barbershop: The Next Cut,2016,"Comedy, Drama","To survive harsh economic times, Calvin and Angie have merged the barbershop and beauty salon into one business. The days of male bonding are gone as Eddie and the crew must now contend with sassy female co-workers and spirited clientele. As the battle of the sexes rages on, a different kind of conflict has taken over Chicago. Crime and gangs are on the rise, leaving Calvin worried about the fate of his son. Together, the friends come up with a bold plan to take back their beloved neighborhood.",6.3,en
Open Season 2,2008,"Adventure, Animation, Comedy, Family","After falling head over hooves in love with Giselle, Elliot's road to the altar takes a slight detour when Mr. Weenie is kidnapped by a group of pampered pets determined to return him to his owners.",5.8,en
Sky of Love,2007,"Romance, Drama","During her freshman year in high school, Mika Tahara (Yui Aragaki) loses her cellular phone, but later finds it in the school library with the help of an unknown caller. Throughout the summer, Mika and the mysterious caller continue to communicate, and agree to meet each other once school starts again. The caller turns out to be Hiro (Haruma Miura), a delinquent-like boy Mika is initially afraid of, who shows proof of his identity as the caller with a photo of the sky on his cellular phone.",7.9,ja
Project Power,2020,"Action, Crime, Science Fiction","An ex-soldier, a teen and a cop collide in New Orleans as they hunt for the source behind a dangerous new pill that grants users temporary superpowers.",6.6,en
Illang: The Wolf Brigade,2018,"Science Fiction, Action, Thriller, Drama","In 2029, the elite police squad Illang combats a terrorist group opposing reunification of the two Koreas. But another enemy may be lurking nearby.",6.4,ko
G.I. Jane,1997,"Action, Drama",A female Senator succeeds in enrolling a woman into Combined Reconnaissance Team training where everyone expects her to fail.,6.4,en
Pandora,2016,"Thriller, Drama, Action","When an earthquake hits a Korean village housing a run-down nuclear power plant, a man risks his life to save the country from imminent disaster.",7.5,ko
The Kid Who Would Be King,2019,"Action, Adventure, Fantasy, Family","Old-school magic meets the modern world when young Alex stumbles upon the mythical sword Excalibur. He soon unites his friends and enemies, and they become knights who join forces with the legendary wizard Merlin. Together, they must save mankind from the wicked enchantress Morgana and her army of supernatural warriors.",6.1,en
A Little Princess,1995,"Drama, Family, Fantasy","When her father enlists to fight for the British in WWI, young Sara Crewe goes to New York to attend the same boarding school her late mother attended. She soon clashes with the severe headmistress, Miss Minchin, who attempts to stifle Sara's creativity and sense of self- worth.",7.6,en
Clear and Present Danger,1994,"Action, Drama, Thriller",CIA Analyst Jack Ryan is drawn into an illegal war fought by the US government against a Colombian drug cartel.,6.6,en
Alien Warfare,2019,"Action, Science Fiction, Thriller",A team of Navy Seals investigates a mysterious science outpost only to have to combat a squad of powerful alien soldiers.,4.1,en
Dragon: The Bruce Lee Story,1993,"Drama, History, Action","This film is a glimpse into the life, love and the unconquerable spirit of the legendary Bruce Lee. From a childhood of rigorous martial arts training, Lee realizes his dream of opening his own kung-fu school in America. Before long, he is discovered by a Hollywood producer and begins a meteoric rise to fame and an all too short reign as one the most charismatic action heroes in cinema history.",6.9,en
